type_is_admission,type_is_job,type_is_event,type_is_misc,subject_length,body_length,next_steps_count,key_dates_count,links_count,attachments_count,has_deadline,confidence,days_until_deadline,has_salary_info,required_skills_count,is_virtual,scholarship_mentioned,urgency,fit,importance
1,0,0,0,43,421,2,2,3,1,1.0,0.8,14.0,0.0,0,0.0,1.0,6.2,8.0,7.1
1,0,0,0,28,119,1,1,2,0,0.0,0.9,0.0,0.0,0,0.0,0.0,2.1,9.0,5.6
1,0,0,0,58,1511,4,3,5,2,1.0,0.7,30.0,0.0,2,1.0,1.0,4.9,7.0,6.0
1,0,0,0,91,2058,3,2,4,1,1.0,0.6,21.0,0.0,1,0.0,0.0,5.5,6.0,5.8
1,0,0,0,31,189,2,1,1,0,0.0,0.8,0.0,0.0,0,0.0,1.0,3.2,8.0,6.0
1,0,0,0,46,382,1,2,2,1,1.0,0.5,7.0,0.0,0,0.0,0.0,7.1,5.0,6.1
1,0,0,0,66,1156,5,3,6,2,1.0,0.9,45.0,0.0,3,1.0,1.0,3.9,8.1,6.9
1,0,0,0,85,1789,3,2,5,1,1.0,0.7,28.0,0.0,2,0.0,1.0,5.2,7.0,6.2
1,0,0,0,25,101,1,1,1,0,0.0,0.6,0.0,0.0,0,0.0,0.0,1.6,6.0,4.0
1,0,0,0,53,532,2,2,3,1,1.0,0.8,10.0,0.0,1,0.0,1.0,6.0,8.0,7.0
1,0,0,0,79,1429,4,3,5,2,1.0,0.6,35.0,0.0,2,1.0,0.0,4.6,6.2,5.9
0,1,0,0,43,857,2,2,3,1,1.0,0.9,14.0,1.0,5,0.0,0.0,6.3,8.1,7.2
0,1,0,0,28,322,1,1,2,0,0.0,0.8,0.0,0.0,3,1.0,0.0,4.0,6.4,5.2
0,1,0,0,91,1941,4,3,5,2,1.0,0.95,30.0,1.0,8,0.0,0.0,5.0,8.6,6.8
0,1,0,0,46,1098,2,2,4,1,1.0,0.85,21.0,0.0,4,0.0,0.0,5.5,7.4,6.4
0,1,0,0,67,532,3,2,1,0,0.0,0.7,0.0,1.0,6,1.0,0.0,3.5,6.9,5.2
0,1,0,0,79,1421,4,3,6,2,1.0,0.92,45.0,1.0,9,0.0,0.0,4.5,8.3,6.4
0,1,0,0,31,451,1,1,2,0,0.0,0.6,0.0,0.0,2,1.0,0.0,3.0,5.6,4.2
0,1,0,0,58,1187,3,2,4,1,1.0,0.88,28.0,1.0,7,0.0,0.0,5.2,7.9,6.6
0,1,0,0,73,628,2,2,3,0,0.0,0.75,0.0,1.0,5,1.0,0.0,4.0,7.1,5.6
0,1,0,0,22,291,1,1,1,0,0.0,0.55,0.0,0.0,1,1.0,0.0,2.5,5.1,3.8
0,1,0,0,85,1732,4,3,7,3,1.0,0.98,60.0,1.0,10,0.0,0.0,6.0,8.8,7.4
0,0,1,0,43,421,2,2,3,1,1.0,0.9,10.5,0.0,0,1.0,0.0,8.2,7.1,7.6
0,0,1,0,67,1312,4,3,2,2,1.0,0.8,21.0,0.0,2,0.0,1.0,6.3,6.2,6.2
0,0,1,0,33,191,1,1,1,0,0.0,0.7,0.0,0.0,0,1.0,0.0,3.5,5.9,5.1
0,0,1,0,58,901,3,2,4,1,1.0,0.85,14.0,0.0,1,1.0,0.0,7.4,6.9,7.1
0,0,1,0,25,69,0,0,0,0,0.0,0.6,0.0,0.0,0,0.0,0.0,2.1,4.8,3.8
0,0,1,0,49,382,2,2,2,1,1.0,0.8,7.0,0.0,0,1.0,1.0,8.5,6.6,7.4
0,0,1,0,82,1511,5,3,5,2,1.0,0.95,30.0,0.0,3,0.0,0.0,5.8,7.3,6.9
0,0,1,0,39,261,1,1,1,0,0.0,0.65,0.0,0.0,0,1.0,0.0,3.1,5.4,4.6
0,0,1,0,71,1187,4,3,3,2,1.0,0.9,25.0,0.0,2,0.0,1.0,6.8,7.1,6.9
0,0,1,0,44,511,2,2,2,1,1.0,0.85,11.0,0.0,1,1.0,0.0,7.8,6.5,7.2
0,0,1,0,27,123,0,0,0,0,0.0,0.55,0.0,0.0,0,0.0,0.0,2.4,4.2,3.3
0,0,0,1,43,421,2,1,3,0,1.0,0.9,10.5,0.0,0,0.0,0.0,6.2,4.1,5.1
0,0,0,1,67,1319,3,2,2,1,0.0,0.8,0.0,0.0,2,1.0,0.0,3.1,5.6,4.8
0,0,0,1,58,914,1,0,1,2,1.0,0.7,30.2,0.0,1,0.0,1.0,4.9,3.4,4.1
0,0,0,1,31,219,0,1,4,0,0.0,0.6,0.0,0.0,0,1.0,0.0,2.1,2.6,2.3
0,0,0,1,72,2781,4,3,5,3,1.0,0.95,20.8,0.0,3,0.0,1.0,7.3,6.4,6.9
0,0,0,1,49,581,2,1,3,1,1.0,0.85,15.1,0.0,2,1.0,0.0,5.6,4.9,5.2
0,0,0,1,82,1949,3,2,2,2,0.0,0.75,0.0,0.0,1,1.0,1.0,3.8,5.1,4.4
0,0,0,1,38,437,1,0,1,0,1.0,0.65,25.9,0.0,0,0.0,0.0,5.1,3.2,4.1
0,0,0,1,56,1103,2,1,4,2,1.0,0.9,12.2,0.0,3,1.0,1.0,6.5,5.8,6.1
0,0,0,1,75,2659,4,3,5,3,0.0,0.8,0.0,0.0,2,0.0,0.0,2.9,5.4,4.2
0,0,0,1,44,675,2,1,2,1,1.0,0.85,18.3,0.0,1,1.0,1.0,6.1,4.7,5.4
